,상호,주소,가격,셀프,상표,구
371,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1585.0,Y,SK에너지,금천구
372,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1595.0,Y,GS칼텍스,금천구
373,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1595.0,Y,S-OIL,금천구
374,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1599.0,N,현대오일뱅크,금천구
375,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1617.0,N,SK에너지,금천구
376,남서울경복에너지,서울 금천구 독산로 257 (독산동),1625.0,Y,현대오일뱅크,금천구
377,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),1509.0,Y,현대오일뱅크,노원구
378,화랑대주유소,서울 노원구 화랑로 483,1525.0,Y,현대오일뱅크,노원구
379,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1525.0,Y,GS칼텍스,노원구
380,월계주유소,서울 노원구 월계로 252 (월계동),1529.0,Y,GS칼텍스,노원구
381,한신주유소,서울 노원구 동일로 1089 (공릉동),1535.0,Y,S-OIL,노원구
382,성북역주유소,서울 노원구 광운로 95 (월계동),1539.0,N,GS칼텍스,노원구
383,삼육주유소,서울 노원구 화랑로 822 (공릉동),1545.0,Y,SK에너지,노원구
384,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1545.0,Y,S-OIL,노원구
385,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1585.0,Y,S-OIL,노원구
386,신성주유소,서울 노원구 월계로 328 (월계동),1598.0,Y,S-OIL,노원구
387,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,1599.0,Y,GS칼텍스,노원구
388,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),1629.0,N,SK에너지,노원구
389,노원주유소,서울 노원구 동일로 1008 (공릉동),1658.0,N,GS칼텍스,노원구
390,상계동주유소,서울 노원구 노원로26길 191 (상계동),1665.0,N,현대오일뱅크,노원구
391,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1745.0,N,GS칼텍스,노원구
392,이케이에너지(주) 도선주유소,서울 도봉구 도봉로 941 (도봉동),1491.0,Y,현대오일뱅크,도봉구
393,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),1509.0,Y,현대오일뱅크,도봉구
394,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1509.0,N,현대오일뱅크,도봉구
395,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1519.0,Y,S-OIL,도봉구
396,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1519.0,Y,S-OIL,도봉구
397,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1524.0,Y,GS칼텍스,도봉구
398,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1539.0,Y,GS칼텍스,도봉구
399,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1539.0,Y,S-OIL,도봉구
400,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1547.0,Y,SK에너지,도봉구
401,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),1547.0,Y,S-OIL,도봉구
